행정구역별(1),행정구역별(2),면적 (㎢),전년말주민등록인구수 (명),성별 (명),성별 (명),성별 (명),연령별 (명),연령별 (명),연령별 (명),연령별 (명),외국인등록인구수 (명),외국인등록인구수 (명),외국인등록인구수 (명),인구밀도 (명/㎢),인구증가율 (%)
행정구역별(1),행정구역별(2),소계,소계,소계,남자,여자,소계,0~14세(유소년),15~64세(생산가능),65세이상(고령),소계,남자,여자,소계,소계
총계,소계,100412.16,51696216,51778544,25855919,25922625,51729410,6773721,37591729,7363960,1178578,674507,504071,515.66,0.16
서울특별시,소계,605.24,9930616,9857426,4830206,5027220,9857426,1119266,7378259,1359901,267153,127651,139502,16286.73,-0.74
서울특별시,종로구,23.91,152737,154770,75967,78803,154770,14416,114324,26030,9487,4127,5360,6472.27,1.33
서울특별시,중구,9.96,125249,125709,62253,63456,125709,11306,93255,21148,8884,4084,4800,12621.65,0.37
서울특별시,용산구,21.87,230241,229161,110878,118283,229161,23174,169499,36488,15283,8545,6738,10480.02,-0.47
서울특별시,성동구,16.86,299259,304808,150368,154440,304808,33732,229924,41152,7903,3709,4194,18082,1.85
서울특별시,광진구,17.06,357215,357703,174414,183289,357703,37469,276444,43790,14595,6231,8364,20963.37,0.14
서울특별시,동대문구,14.22,355069,350647,175324,175323,350647,35637,259463,55547,15364,5861,9503,24667.38,-1.25
서울특별시,중랑구,18.5,411005,408226,203325,204901,408226,41660,307377,59189,4554,1800,2754,22071.82,-0.68
서울특별시,성북구,24.57,450355,444055,216556,227499,444055,52354,325580,66121,11352,4547,6805,18070.71,-1.4
서울특별시,강북구,23.6,327195,324479,158918,165561,324479,31728,236314,56437,3523,1334,2189,13748.78,-0.83
서울특별시,도봉구,20.67,348220,344166,168759,175407,344166,36873,253848,53445,2068,794,1274,16651.91,-1.16
서울특별시,노원구,35.44,567581,554403,269508,284895,554403,68323,411902,74178,3672,1517,2155,15644.35,-2.32
서울특별시,은평구,29.71,491476,486794,236353,250441,486794,55045,357349,74400,4408,1870,2538,16385.21,-0.95
서울특별시,서대문구,17.63,314194,312800,151144,161656,312800,33339,230563,48898,12228,4106,8122,17746.25,-0.44
서울특별시,마포구,23.85,379892,374915,178939,195976,374915,43580,281979,49356,10868,4309,6559,15718.31,-1.31
서울특별시,양천구,17.41,477739,471154,232518,238636,471154,62121,353897,55136,3864,1761,2103,27067.22,-1.38
서울특별시,강서구,41.44,595485,601691,292989,308702,601691,72181,453665,75845,6564,3186,3378,14520.68,1.04
서울특별시,구로구,20.12,417551,410742,204003,206739,410742,49240,303289,58213,30817,17383,13434,20414.66,-1.63
서울특별시,금천구,13.02,235386,235154,119497,115657,235154,23079,178233,33842,18337,10278,8059,18060.76,-0.1
서울특별시,영등포구,24.55,370613,368550,183975,184575,368550,39406,275845,53299,33474,18425,15049,15013.33,-0.56
서울특별시,동작구,16.35,400997,396217,193255,202962,396217,43210,295936,57071,12276,5572,6704,24227.21,-1.19
서울특별시,관악구,29.57,506851,503297,253661,249636,503297,44110,389458,69729,17632,8345,9287,17021.19,-0.7
서울특별시,서초구,46.99,447192,441102,211236,229866,441102,62043,325940,53119,4299,2186,2113,9388.03,-1.36
서울특별시,강남구,39.5,567115,556164,266442,289722,556164,68591,422627,64946,4888,2499,2389,14079.69,-1.93
서울특별시,송파구,33.87,657831,664496,323147,341349,664496,84755,503299,76442,6677,3260,3417,19616.2,1.01
서울특별시,강동구,24.59,444168,436223,216777,219446,436223,51894,328249,56080,4136,1922,2214,17740.6,-1.79
부산광역시,소계,770.04,3498529,3470653,1709508,1761145,3470653,391988,2513138,565527,49653,27370,22283,4507.11,-0.8
부산광역시,중구,2.83,45208,44218,21662,22556,44218,2930,31206,10082,1848,1181,667,15624.73,-2.19
부산광역시,서구,13.98,112973,110039,53873,56166,110039,9311,76266,24462,1906,1208,698,7871.17,-2.6
부산광역시,동구,9.74,89826,88868,43927,44941,88868,6721,61071,21076,1988,859,1129,9124.02,-1.07
부산광역시,영도구,14.19,126362,123521,61156,62365,123521,10384,84844,28293,1826,1128,698,8704.79,-2.25
부산광역시,부산진구,29.67,376526,371703,181502,190201,371703,37361,271400,62942,2801,1086,1715,12527.91,-1.28
부산광역시,동래구,16.63,272745,270727,132673,138054,270727,31724,196306,42697,1240,500,740,16279.43,-0.74
부산광역시,남구,26.81,278779,273854,134592,139262,273854,30535,195355,47964,5455,2644,2811,10214.62,-1.77
부산광역시,북구,39.37,310202,302924,150355,152569,302924,34748,227176,41000,2121,900,1221,7694.28,-2.35
