RUN_DT,STN_CD,STN_CD_NM, ABRD_PRNB , GOFF_PRNB 
20200101,0000924,송도교, 2 , - 
20200101,3900023,서울," 38,306 "," 50,440 "
20200101,3900025,용산," 19,702 "," 23,967 "
20200101,3900030,영등포," 10,812 "," 11,125 "
20200101,3900039,안양, 387 , 269 
20200101,3900047,수원," 13,816 "," 15,705 "
20200101,3900052,오산, 118 , 145 
20200101,3900055,서정리, 14 , 54 
20200101,3900057,평택," 5,758 "," 8,443 "
20200101,3900058,성환, 25 , 43 
20200101,3900061,천안," 5,941 "," 6,399 "
20200101,3900063,전의, 122 , 148 
20200101,3900066,조치원," 3,418 "," 4,291 "
20200101,3900068,부강, 120 , 157 
20200101,3900070,신탄진," 1,602 "," 1,944 "
20200101,3900073,대전," 17,398 "," 19,592 "
20200101,3900075,옥천, 544 , 517 
20200101,3900076,이원, 14 , 33 
20200101,3900077,지탄, - , 1 
20200101,3900078,심천, 13 , 13 
20200101,3900080,영동," 1,168 "," 1,233 "
20200101,3900081,황간, 102 , 84 
20200101,3900082,추풍령, 39 , 46 
20200101,3900085,김천," 2,559 "," 2,475 "
20200101,3900088,구미," 5,537 "," 6,465 "
20200101,3900089,사곡, 46 , 71 
20200101,3900090,약목, 70 , 107 
20200101,3900091,왜관," 1,657 "," 1,948 "
20200101,3900093,신동, 3 , 4 
20200101,3900095,대구," 6,383 "," 5,430 "
20200101,3900096,동대구," 25,258 "," 23,327 "
20200101,3900099,경산," 2,643 "," 2,754 "
20200101,3900101,남성현, 4 , 11 
20200101,3900102,청도," 1,120 "," 1,218 "
20200101,3900104,상동, 95 , 74 
20200101,3900105,밀양," 2,515 "," 2,455 "
20200101,3900107,삼랑진, 315 , 362 
20200101,3900108,원동, 55 , 59 
20200101,3900109,물금," 1,100 "," 1,300 "
20200101,3900110,화명, 141 , 129 
20200101,3900111,구포," 4,351 "," 4,073 "
20200101,3900112,사상, 59 , 64 
20200101,3900114,부산," 28,680 "," 17,118 "
20200101,3900122,덕소, 62 , 50 
20200101,3900130,양평," 1,067 "," 1,019 "
20200101,3900132,용문, 302 , 248 
20200101,3900133,지평, 34 , 33 
20200101,3900134,석불, 1 , 1 
20200101,3900135,일신, 7 , 12 
20200101,3900136,매곡, 4 , 8 
20200101,3900137,양동, 130 , 135 
20200101,3900138,삼산, 5 , 2 
20200101,3900140,동화, 16 , 29 
20200101,3900141,만종, 790 , 932 
20200101,3900142,원주," 1,806 "," 1,473 "
20200101,3900144,반곡, 49 , 88 
20200101,3900148,신림, 12 , 13 
20200101,3900153,제천," 2,047 "," 1,874 "
20200101,3900157,단양, 252 , 190 
20200101,3900160,희방사, 1 , 5 
20200101,3900161,풍기, 177 , 142 
20200101,3900164,영주, 796 , 696 
20200101,3900172,안동, 641 , 611 
20200101,3900177,의성, 111 , 135 
20200101,3900179,탑리, 20 , 20 
20200101,3900181,화본, 11 , 10 
20200101,3900184,신녕, 3 , 3 
20200101,3900186,북영천, 12 , 6 
20200101,3900187,영천, 896 , 959 
20200101,3900191,건천, 10 , 7 
20200101,3900194,서경주, 222 , 206 
20200101,3900195,서대전," 5,825 "," 4,805 "
20200101,3900199,계룡, 803 , 875 
20200101,3900202,연산, 35 , 19 
20200101,3900204,논산," 1,576 "," 1,804 "
20200101,3900206,강경, 348 , 284 
20200101,3900208,함열, 151 , 140 
20200101,3900211,익산," 6,953 "," 6,674 "
20200101,3900214,김제, 638 , 564 
20200101,3900216,신태인, 116 , 132 
20200101,3900218,정읍," 1,515 "," 1,293 "
20200101,3900221,백양사, 80 , 77 
20200101,3900224,장성, 326 , 283 
20200101,3900229,광주송정," 6,707 "," 6,147 "
20200101,3900231,나주," 1,015 "," 1,121 "
20200101,3900233,다시, 10 , 7 
